agent,env,env_step,episode_reward,seed
DCWM (ours),walker-walk,1576000.0,976.1246337890624,3
DCWM (ours),walker-walk,1601000.0,974.96826171875,3
DCWM (ours),walker-walk,1626000.0,983.3748168945312,3
DCWM (ours),walker-walk,1651000.0,983.60546875,3
DCWM (ours),walker-walk,1676000.0,979.423828125,3
DCWM (ours),walker-walk,1701000.0,978.1070556640624,3
DCWM (ours),walker-walk,1726000.0,979.2619018554688,3
DCWM (ours),walker-walk,1751000.0,973.73486328125,3
DCWM (ours),walker-walk,1776000.0,980.8795166015624,3
DCWM (ours),walker-walk,1801000.0,981.9945678710938,3
DCWM (ours),walker-walk,1826000.0,983.8092651367188,3
DCWM (ours),walker-walk,1851000.0,985.1325073242188,3
DCWM (ours),walker-walk,1876000.0,969.2777709960938,3
DCWM (ours),walker-walk,1901000.0,973.4423217773438,3
DCWM (ours),walker-walk,1926000.0,983.9171752929688,3
DCWM (ours),walker-walk,1951000.0,981.9085083007812,3
DCWM (ours),walker-walk,1976000.0,972.7377319335938,3
DCWM (ours),walker-walk,2001000.0,976.4325561523438,3
DCWM (ours),walker-walk,2026000.0,984.4885864257812,3
DCWM (ours),walker-walk,2051000.0,980.8800048828124,3
DCWM (ours),walker-walk,2076000.0,973.5033569335938,3
DCWM (ours),walker-walk,2101000.0,980.8510131835938,3
DCWM (ours),walker-walk,2126000.0,971.4822387695312,3
DCWM (ours),walker-walk,2151000.0,973.0199584960938,3
DCWM (ours),walker-walk,2176000.0,984.40673828125,3
DCWM (ours),walker-walk,2201000.0,985.6267700195312,3
DCWM (ours),walker-walk,2226000.0,982.4932861328124,3
DCWM (ours),walker-walk,2251000.0,982.6627197265624,3
DCWM (ours),walker-walk,2276000.0,971.9987182617188,3
DCWM (ours),walker-walk,2301000.0,983.4904174804688,3
DCWM (ours),walker-walk,2326000.0,977.4654541015624,3
DCWM (ours),walker-walk,2351000.0,981.5512084960938,3
DCWM (ours),walker-walk,2376000.0,981.1329956054688,3
DCWM (ours),walker-walk,2401000.0,978.6558837890624,3
DCWM (ours),walker-walk,2426000.0,979.7006225585938,3
DCWM (ours),walker-walk,2451000.0,977.5780639648438,3
DCWM (ours),walker-walk,2476000.0,979.5450439453124,3
DCWM (ours),walker-walk,2501000.0,965.7498168945312,3
DCWM (ours),walker-walk,2526000.0,980.88916015625,3
DCWM (ours),walker-walk,2551000.0,986.5370483398438,3
DCWM (ours),walker-walk,2576000.0,980.4166259765624,3
DCWM (ours),walker-walk,2601000.0,985.3529663085938,3
DCWM (ours),walker-walk,2626000.0,984.7101440429688,3
DCWM (ours),walker-walk,2651000.0,982.228515625,3
DCWM (ours),walker-walk,2676000.0,979.9464111328124,3
DCWM (ours),walker-walk,2701000.0,981.3253784179688,3
DCWM (ours),walker-walk,2726000.0,984.3707275390624,3
DCWM (ours),walker-walk,2751000.0,979.3010864257812,3
DCWM (ours),walker-walk,2776000.0,979.5498046875,3
DCWM (ours),walker-walk,2801000.0,979.1062622070312,3
DCWM (ours),walker-walk,2826000.0,970.3488159179688,3
DCWM (ours),walker-walk,2851000.0,978.7406616210938,3
DCWM (ours),walker-walk,2876000.0,985.2335815429688,3
DCWM (ours),walker-walk,2901000.0,986.3670043945312,3
DCWM (ours),walker-walk,2926000.0,983.0347900390624,3
DCWM (ours),walker-walk,2951000.0,978.9254150390624,3
DCWM (ours),walker-walk,2976000.0,989.3936767578124,3
DCWM (ours),walker-walk,3001000.0,978.2160034179688,3
DCWM (ours),walker-walk,3026000.0,981.18603515625,3
DCWM (ours),walker-walk,3051000.0,976.8375854492188,3
DCWM (ours),walker-walk,3076000.0,984.9841918945312,3
DCWM (ours),walker-walk,3101000.0,978.81689453125,3
DCWM (ours),walker-walk,3126000.0,978.9172973632812,3
DCWM (ours),walker-walk,3151000.0,982.0568237304688,3
DCWM (ours),walker-walk,3176000.0,982.2033081054688,3
DCWM (ours),walker-walk,3201000.0,978.5778198242188,3
DCWM (ours),walker-walk,3226000.0,982.0146484375,3
DCWM (ours),walker-walk,3251000.0,980.61767578125,3
DCWM (ours),walker-walk,3276000.0,979.4111328125,3
DCWM (ours),walker-walk,3301000.0,982.0810546875,3
DCWM (ours),walker-walk,3326000.0,982.0123901367188,3
DCWM (ours),humanoid-walk,1000.0,1.1721302270889282,1
DCWM (ours),humanoid-walk,26000.0,1.4231443405151367,1
DCWM (ours),humanoid-walk,51000.0,0.9452258944511414,1
DCWM (ours),humanoid-walk,76000.0,1.3200973272323608,1
DCWM (ours),humanoid-walk,101000.0,1.2601250410079956,1
DCWM (ours),humanoid-walk,126000.0,1.462311029434204,1
